"","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle"
"76511",577531.322527624,7899935.34914309,2010-03-12 17:00:00,646.434927887167,302.789321389981,713.83435693464,1200,908836778.135808,0.438048558293672,0.507935842196633
"76512",578177.757455511,7900238.13846448,2010-03-12 17:20:00,443.521843736409,350.680674482137,565.410082441576,1200,888536189.083483,0.669027715380735,0.230979157087063
"76513",578621.279299247,7900588.81913896,2010-03-12 17:40:00,614.26997275441,509.336705633439,797.967091510187,1200,880427732.789456,0.692278575800403,0.0232508604196675
"76514",579235.549272001,7901098.15584459,2010-03-12 18:00:00,-225.601642011898,560.19150704518,603.912763107399,1200,871145977.799432,1.95364735487012,1.26136877906972
"76515",579009.94762999,7901658.34735164,2010-03-12 18:20:00,0.31819983990863,-0.677470110356808,0.74847637808066,1200,902897732.070981,-1.13169070652253,-3.08533806139266
"76516",579010.265829829,7901657.66988153,2010-03-12 18:40:00,-10.2923813090893,-2.65729626920074,10.6298794195418,1200,902856813.264837,-2.88892926393855,-1.75723855741602
"76517",578999.97344852,7901655.01258526,2010-03-12 19:00:00,93.8664930313826,-12.1075724801049,94.6441325459301,1200,903225318.139577,-0.12827886923129,2.76065039470726
"76518",579093.839941552,7901642.90501278,2010-03-12 19:20:00,64.1636807888281,279.791573476046,287.054528827839,1200,898459938.945848,1.34536749603678,1.47364636526807
"76519",579158.003622341,7901922.69658625,2010-03-12 19:40:00,2.30629513715394,113.907168965787,113.930514521176,1200,906480651.201798,1.55055194636909,0.205184450332311
"76520",579160.309917478,7902036.60375522,2010-03-12 20:00:00,-23.7276395582594,61.3366281427443,65.7661222129446,1200,910876936.04641,1.93990918186444,0.389357235495347
"76521",579136.58227792,7902097.94038336,2010-03-12 20:20:00,101.120819159667,-19.3418232351542,102.95400037678,1200,914392393.979664,-0.188991648201965,-2.1289008300664
"76522",579237.703097079,7902078.59856013,2010-03-12 20:40:00,40.9622639719164,-62.7626493740827,74.9470294685453,1200,909025362.46709,-0.992557976245518,-0.803566328043552
"76523",579278.665361051,7902015.83591075,2010-03-12 21:00:00,55.7923601976363,-0.688895327970386,55.7966130978905,1200,904679727.134503,-0.0123468575085104,0.980211118737007
"76524",579334.457721249,7902015.14701542,2010-03-12 21:20:00,125.440246164799,-66.7253429396078,142.082816513094,1200,902128608.137183,-0.48886358727404,-0.476516729765529
"76525",579459.897967414,7901948.42167248,2010-03-12 21:40:00,9.81207369058393,-9.49768527876586,13.6558711096706,1200,893839790.823976,-0.769118279364642,-0.280254692090602
"76526",579469.710041104,7901938.92398721,2010-03-12 22:00:00,0.225368070066907,2.47554113902152,2.48577848932555,1200,893024394.551929,1.480008686435,2.24912696579964
"76527",579469.935409174,7901941.39952835,2010-03-12 22:20:00,256.990098300739,416.518519829959,489.41964405402,1200,893111904.259658,1.01797369462061,-0.46203499181439
"76528",579726.925507475,7902357.91804818,2010-03-12 22:40:00,1247.76012837072,515.329175804742,1349.98870268877,1200,898237880.656674,0.391665702006871,-0.626307992613734
"76529",580974.685635846,7902873.24722398,2010-03-12 23:00:00,731.294571761624,323.237978016026,799.546459638154,1200,865419416.330285,0.416187850709727,0.024522148702856
"76530",581705.980207607,7903196.485202,2010-03-12 23:20:00,285.76892484969,54.3475615913048,290.890934648484,1200,848768477.274834,0.187935761931038,-0.228252088778689
"76531",581991.749132457,7903250.83276359,2010-03-12 23:40:00,0.321109478129074,-0.00141837168484926,0.32111261065639,1200,839577219.462612,-0.00441706818722729,-0.192352830118265
"76532",581992.070241935,7903250.83134522,2010-03-13 00:00:00,-19.8785933068721,-14.770201779902,24.7652444461798,1200,839564358.546171,-2.50257342794691,-2.49815635975968
"76533",581972.191648628,7903236.06114344,2010-03-13 00:20:00,2.23489491059445,-3.16250487975776,3.87249175285018,1200,839736211.561429,-0.955597829936531,1.54697559801038
"76534",581974.426543539,7903232.89863856,2010-03-13 00:40:00,0.848045200807974,-2.0298859924078,2.19991313573669,1200,839514122.554075,-1.17505718184123,-0.219459351904701
"76535",581975.27458874,7903230.86875256,2010-03-13 01:00:00,-37.1401745977346,-237.126883963123,240.017815312136,1200,839394986.478747,-1.72615983676399,-0.551102654922755
"76536",581938.134414142,7902993.7418686,2010-03-13 01:20:00,147.284994756454,-91.6047799168155,173.448278700069,1200,830970462.947379,-0.556407345504603,1.16975249125938
"76537",582085.419408898,7902902.13708868,2010-03-13 01:40:00,53.966181688942,21.8241624608636,58.2120505840678,1200,821307327.97103,0.384297515746695,0.940704861251298
"76538",582139.385590587,7902923.96125114,2010-03-13 02:00:00,-1.34796079050284,9.91204157937318,10.0032777910021,1200,820072103.661471,1.70595941162334,1.32166189587665
"76539",582138.037629797,7902933.87329272,2010-03-13 02:20:00,0.42848971975036,-0.00189636740833521,0.428493916107439,1200,820535959.880243,-0.00442567216854176,-1.71038508379188
"76540",582138.466119517,7902933.87139636,2010-03-13 02:40:00,-16.2176298226696,13.8054919531569,21.2979605862585,1200,820518924.68332,2.43636496092742,2.44079063309596
"76541",582122.248489694,7902947.67688831,2010-03-13 03:00:00,5.00355295429472,-6.77668517827988,8.42371676707791,1200,821733053.653399,-0.934794204177144,2.91202614207502
"76542",582127.252042648,7902940.90020313,2010-03-13 03:20:00,-1.28845649992581,-0.669310349971056,1.4519285439647,1200,821254042.986467,-2.66249317879195,-1.72769897461481
"76543",582125.963586148,7902940.23089278,2010-03-13 03:40:00,18.1639161338098,159.764627304859,160.793855564125,1200,821277325.548807,1.45759068957977,-2.16310143880786
